,t,I
0,0.0009152889251708984,6.805593013763428
1,0.05405235290527344,6.87619161605835
2,0.1103372573852539,5.973075866699219
3,0.16635513305664062,5.799225807189941
4,0.22196006774902344,5.8892388343811035
5,0.27795910835266113,6.302879810333252
6,0.3339524269104004,5.92865514755249
7,0.38958287239074707,5.8452253341674805
8,0.44523119926452637,6.301689147949219
9,0.5014300346374512,6.442783832550049
10,0.5575869083404541,5.9465837478637695
11,0.6132194995880127,6.192515850067139
12,0.6692333221435547,5.7102437019348145
13,0.7252259254455566,5.812396049499512
14,0.7812156677246094,5.927135944366455
15,0.8372249603271484,5.4064459800720215
16,0.8934504985809326,5.928301811218262
17,0.9496099948883057,5.947428226470947
18,1.0054106712341309,5.82503080368042
19,1.0615363121032715,5.914714813232422
20,1.117382287979126,6.326045513153076
21,1.1736397743225098,6.049644470214844
22,1.2291457653045654,6.71544075012207
23,1.285191297531128,6.897292137145996
24,1.3414039611816406,5.711421966552734
25,1.3975231647491455,5.892152786254883
26,1.4534993171691895,6.446375370025635
27,1.5095274448394775,6.851023197174072
28,1.5654737949371338,6.2394866943359375
29,1.6217753887176514,6.034613132476807
30,1.6780755519866943,5.804173946380615
31,1.7340459823608398,6.035845756530762
32,1.7897789478302002,5.921014308929443
33,1.845874309539795,6.21691370010376
34,1.902005672454834,6.925976753234863
35,1.9580950736999512,5.939892292022705
36,2.0139403343200684,6.125395774841309
37,2.0699470043182373,5.9053874015808105
38,2.125927209854126,5.712289333343506
39,2.181920289993286,5.608651638031006
40,2.2381603717803955,6.71579647064209
41,2.2943196296691895,5.747684478759766
42,2.3503146171569824,5.657744407653809
43,2.4063680171966553,5.771739482879639
44,2.462191581726074,6.041762351989746
45,2.518678665161133,6.404893398284912
46,2.5746500492095947,6.509199619293213
47,2.63057804107666,6.1225128173828125
48,2.686673164367676,6.1219258308410645
49,2.7429378032684326,6.212097644805908
50,2.7989346981048584,5.890583038330078
51,2.8554201126098633,6.622317790985107
52,2.912317991256714,5.989139080047607
53,2.9687623977661133,5.783291339874268
54,3.0253777503967285,5.924542427062988
55,3.0816500186920166,5.8722825050354
56,3.1379129886627197,6.549482345581055
57,3.19423246383667,6.231349468231201
58,3.2506539821624756,5.934638500213623
59,3.3069112300872803,5.9184417724609375
60,3.363182544708252,5.791194438934326
61,3.4192161560058594,5.8821563720703125
62,3.475520133972168,6.912619113922119
63,3.531799554824829,6.229746341705322
64,3.5877878665924072,6.062575817108154
65,3.6442370414733887,6.087157249450684
66,3.7003726959228516,5.699863910675049
67,3.7561709880828857,5.732712268829346
68,3.812486171722412,5.906103134155273
69,3.868522882461548,6.795071125030518
70,3.9245333671569824,5.790073394775391
71,3.9805002212524414,5.919033050537109
72,4.036155939102173,6.229109287261963
73,4.092270612716675,5.998356342315674
74,4.1482508182525635,6.018041610717773
75,4.204514265060425,6.681337356567383
76,4.260224342346191,5.882104873657227
77,4.316310405731201,6.642270565032959
78,4.3722758293151855,5.907517433166504
79,4.428586006164551,6.786744117736816
80,4.486709117889404,2.506824254989624
81,4.542240381240845,1.6863008737564087
82,4.598356008529663,1.127868413925171
83,4.65444016456604,1.5199575424194336
84,4.710901975631714,0.5745329856872559
85,4.767163276672363,0.672427773475647
86,4.823516130447388,0.21413291990756989
87,4.879610776901245,0.1407439112663269
88,4.935606479644775,-0.5435085892677307
89,4.991452217102051,-0.9803494811058044
90,5.047489881515503,-1.3769358396530151
91,5.103592395782471,-1.684869647026062
92,5.159280300140381,-2.083787441253662
93,5.215105772018433,-2.7620747089385986
94,5.271326303482056,-3.3593287467956543
95,5.327467441558838,-3.7528843879699707
96,5.3840012550354,-3.4903271198272705
97,5.439935207366943,-3.1827552318573
98,5.49632716178894,-3.8740410804748535
99,5.552678108215332,-5.362038612365723
100,5.609061241149902,-4.9361748695373535
101,5.665005445480347,-5.712886333465576
102,5.72133207321167,-4.152174472808838
103,5.777526617050171,-5.049009799957275
104,5.833483934402466,-4.280177593231201
105,5.889703035354614,-5.107670783996582
106,5.945746421813965,-5.159091472625732
107,6.001352310180664,-5.318368434906006
108,6.057767629623413,-5.481014728546143
109,6.113412380218506,-5.411398410797119
110,6.169532299041748,-5.125067234039307
